Year,Quarter,Month,Day,Month,Sum of Month Number,Sum of Year
2021,Qtr 4,November,23,November,11,2021
2021,Qtr 4,November,24,November,11,2021
2021,Qtr 4,November,25,November,11,2021
2021,Qtr 4,November,26,November,11,2021
2021,Qtr 4,November,27,November,11,2021
2021,Qtr 4,November,28,November,11,2021
2021,Qtr 4,November,29,November,11,2021
2021,Qtr 4,November,30,November,11,2021
2022,Qtr 4,November,1,November,11,2022
2022,Qtr 4,November,2,November,11,2022
2022,Qtr 4,November,3,November,11,2022
2022,Qtr 4,November,4,November,11,2022
2022,Qtr 4,November,5,November,11,2022
2022,Qtr 4,November,6,November,11,2022
2022,Qtr 4,November,7,November,11,2022
2022,Qtr 4,November,8,November,11,2022
2022,Qtr 4,November,9,November,11,2022
2022,Qtr 4,November,10,November,11,2022
2022,Qtr 4,November,11,November,11,2022
2022,Qtr 4,November,12,November,11,2022
2022,Qtr 4,November,13,November,11,2022
2022,Qtr 4,November,14,November,11,2022
2022,Qtr 4,November,15,November,11,2022
2022,Qtr 4,November,16,November,11,2022
2022,Qtr 4,November,17,November,11,2022
2022,Qtr 4,November,18,November,11,2022
2022,Qtr 4,November,19,November,11,2022
2022,Qtr 4,November,20,November,11,2022
2022,Qtr 4,November,21,November,11,2022
2022,Qtr 4,November,22,November,11,2022
2022,Qtr 4,November,23,November,11,2022
2022,Qtr 4,November,24,November,11,2022
2022,Qtr 4,November,25,November,11,2022
2022,Qtr 4,November,26,November,11,2022
2022,Qtr 4,November,27,November,11,2022
2022,Qtr 4,November,28,November,11,2022
2022,Qtr 4,November,29,November,11,2022
2022,Qtr 4,November,30,November,11,2022
2021,Qtr 4,October,1,October,10,2021
2021,Qtr 4,October,2,October,10,2021
2021,Qtr 4,October,3,October,10,2021
2021,Qtr 4,October,4,October,10,2021
2021,Qtr 4,October,5,October,10,2021
2021,Qtr 4,October,6,October,10,2021
2021,Qtr 4,October,7,October,10,2021
2021,Qtr 4,October,8,October,10,2021
2021,Qtr 4,October,9,October,10,2021
2021,Qtr 4,October,10,October,10,2021
2021,Qtr 4,October,11,October,10,2021
2021,Qtr 4,October,12,October,10,2021
2021,Qtr 4,October,13,October,10,2021
2021,Qtr 4,October,14,October,10,2021
2021,Qtr 4,October,15,October,10,2021
2021,Qtr 4,October,16,October,10,2021
2021,Qtr 4,October,17,October,10,2021
2021,Qtr 4,October,18,October,10,2021
2021,Qtr 4,October,19,October,10,2021
2021,Qtr 4,October,20,October,10,2021
2021,Qtr 4,October,21,October,10,2021
2021,Qtr 4,October,22,October,10,2021
2021,Qtr 4,October,23,October,10,2021
2021,Qtr 4,October,24,October,10,2021
2021,Qtr 4,October,25,October,10,2021
2021,Qtr 4,October,26,October,10,2021
2021,Qtr 4,October,27,October,10,2021
2021,Qtr 4,October,28,October,10,2021
2021,Qtr 4,October,29,October,10,2021
2021,Qtr 4,October,30,October,10,2021
2021,Qtr 4,October,31,October,10,2021
2022,Qtr 4,October,1,October,10,2022
2022,Qtr 4,October,2,October,10,2022
2022,Qtr 4,October,3,October,10,2022
2022,Qtr 4,October,4,October,10,2022
2022,Qtr 4,October,5,October,10,2022
2022,Qtr 4,October,6,October,10,2022
2022,Qtr 4,October,7,October,10,2022
2022,Qtr 4,October,8,October,10,2022
2022,Qtr 4,October,9,October,10,2022
2022,Qtr 4,October,10,October,10,2022
2022,Qtr 4,October,11,October,10,2022
2022,Qtr 4,October,12,October,10,2022
2022,Qtr 4,October,13,October,10,2022
2022,Qtr 4,October,14,October,10,2022
2022,Qtr 4,October,15,October,10,2022
2022,Qtr 4,October,16,October,10,2022
2022,Qtr 4,October,17,October,10,2022
2022,Qtr 4,October,18,October,10,2022
2022,Qtr 4,October,19,October,10,2022
2022,Qtr 4,October,20,October,10,2022
2022,Qtr 4,October,21,October,10,2022
2022,Qtr 4,October,22,October,10,2022
2022,Qtr 4,October,23,October,10,2022
2022,Qtr 4,October,24,October,10,2022
2022,Qtr 4,October,25,October,10,2022
2022,Qtr 4,October,26,October,10,2022
2022,Qtr 4,October,27,October,10,2022
2022,Qtr 4,October,28,October,10,2022
2022,Qtr 4,October,29,October,10,2022
2022,Qtr 4,October,30,October,10,2022
2022,Qtr 4,October,31,October,10,2022
2021,Qtr 3,September,1,September,9,2021
2021,Qtr 3,September,2,September,9,2021
2021,Qtr 3,September,3,September,9,2021
2021,Qtr 3,September,4,September,9,2021
2021,Qtr 3,September,5,September,9,2021
2021,Qtr 3,September,6,September,9,2021
2021,Qtr 3,September,7,September,9,2021
2021,Qtr 3,September,8,September,9,2021
2021,Qtr 3,September,9,September,9,2021
2021,Qtr 3,September,10,September,9,2021
2021,Qtr 3,September,11,September,9,2021
2021,Qtr 3,September,12,September,9,2021
2021,Qtr 3,September,13,September,9,2021
2021,Qtr 3,September,14,September,9,2021
2021,Qtr 3,September,15,September,9,2021
2021,Qtr 3,September,16,September,9,2021
2021,Qtr 3,September,17,September,9,2021
2021,Qtr 3,September,18,September,9,2021
2021,Qtr 3,September,19,September,9,2021
2021,Qtr 3,September,20,September,9,2021
2021,Qtr 3,September,21,September,9,2021
2021,Qtr 3,September,22,September,9,2021
2021,Qtr 3,September,23,September,9,2021
2021,Qtr 3,September,24,September,9,2021
2021,Qtr 3,September,25,September,9,2021
2021,Qtr 3,September,26,September,9,2021
2021,Qtr 3,September,27,September,9,2021
2021,Qtr 3,September,28,September,9,2021
2021,Qtr 3,September,29,September,9,2021
2021,Qtr 3,September,30,September,9,2021
2022,Qtr 3,September,1,September,9,2022
2022,Qtr 3,September,2,September,9,2022
2022,Qtr 3,September,3,September,9,2022
2022,Qtr 3,September,4,September,9,2022
2022,Qtr 3,September,5,September,9,2022
2022,Qtr 3,September,6,September,9,2022
2022,Qtr 3,September,7,September,9,2022
2022,Qtr 3,September,8,September,9,2022
2022,Qtr 3,September,9,September,9,2022
2022,Qtr 3,September,10,September,9,2022
2022,Qtr 3,September,11,September,9,2022
2022,Qtr 3,September,12,September,9,2022
2022,Qtr 3,September,13,September,9,2022
2022,Qtr 3,September,14,September,9,2022
2022,Qtr 3,September,15,September,9,2022
2022,Qtr 3,September,16,September,9,2022
2022,Qtr 3,September,17,September,9,2022
2022,Qtr 3,September,18,September,9,2022
2022,Qtr 3,September,19,September,9,2022
2022,Qtr 3,September,20,September,9,2022
2022,Qtr 3,September,21,September,9,2022
2022,Qtr 3,September,22,September,9,2022
2022,Qtr 3,September,23,September,9,2022
2022,Qtr 3,September,24,September,9,2022
2022,Qtr 3,September,25,September,9,2022
2022,Qtr 3,September,26,September,9,2022
2022,Qtr 3,September,27,September,9,2022
2022,Qtr 3,September,28,September,9,2022
2022,Qtr 3,September,29,September,9,2022
2022,Qtr 3,September,30,September,9,2022
2021,Qtr 3,August,1,August,8,2021
2021,Qtr 3,August,2,August,8,2021
2021,Qtr 3,August,3,August,8,2021
2021,Qtr 3,August,4,August,8,2021
2021,Qtr 3,August,5,August,8,2021
2021,Qtr 3,August,6,August,8,2021
2021,Qtr 3,August,7,August,8,2021
2021,Qtr 3,August,8,August,8,2021
2021,Qtr 3,August,9,August,8,2021
2021,Qtr 3,August,10,August,8,2021
2021,Qtr 3,August,11,August,8,2021
2021,Qtr 3,August,12,August,8,2021
2021,Qtr 3,August,13,August,8,2021
2021,Qtr 3,August,14,August,8,2021
2021,Qtr 3,August,15,August,8,2021
2021,Qtr 3,August,16,August,8,2021
2021,Qtr 3,August,17,August,8,2021
2021,Qtr 3,August,18,August,8,2021
2021,Qtr 3,August,19,August,8,2021
2021,Qtr 3,August,20,August,8,2021
2021,Qtr 3,August,21,August,8,2021
2021,Qtr 3,August,22,August,8,2021
2021,Qtr 3,August,23,August,8,2021
2021,Qtr 3,August,24,August,8,2021
2021,Qtr 3,August,25,August,8,2021
2021,Qtr 3,August,26,August,8,2021
2021,Qtr 3,August,27,August,8,2021
2021,Qtr 3,August,28,August,8,2021
2021,Qtr 3,August,29,August,8,2021
2021,Qtr 3,August,30,August,8,2021
2021,Qtr 3,August,31,August,8,2021
2022,Qtr 3,August,1,August,8,2022
2022,Qtr 3,August,2,August,8,2022
2022,Qtr 3,August,3,August,8,2022
2022,Qtr 3,August,4,August,8,2022
2022,Qtr 3,August,5,August,8,2022
2022,Qtr 3,August,6,August,8,2022
2022,Qtr 3,August,7,August,8,2022
2022,Qtr 3,August,8,August,8,2022
2022,Qtr 3,August,9,August,8,2022
2022,Qtr 3,August,10,August,8,2022
2022,Qtr 3,August,11,August,8,2022
2022,Qtr 3,August,12,August,8,2022
2022,Qtr 3,August,13,August,8,2022
2022,Qtr 3,August,14,August,8,2022
2022,Qtr 3,August,15,August,8,2022
2022,Qtr 3,August,16,August,8,2022
2022,Qtr 3,August,17,August,8,2022
2022,Qtr 3,August,18,August,8,2022
2022,Qtr 3,August,19,August,8,2022
2022,Qtr 3,August,20,August,8,2022
2022,Qtr 3,August,21,August,8,2022
2022,Qtr 3,August,22,August,8,2022
2022,Qtr 3,August,23,August,8,2022
2022,Qtr 3,August,24,August,8,2022
2022,Qtr 3,August,25,August,8,2022
2022,Qtr 3,August,26,August,8,2022
2022,Qtr 3,August,27,August,8,2022
2022,Qtr 3,August,28,August,8,2022
2022,Qtr 3,August,29,August,8,2022
2022,Qtr 3,August,30,August,8,2022
2022,Qtr 3,August,31,August,8,2022
2021,Qtr 3,July,1,July,7,2021
2021,Qtr 3,July,2,July,7,2021
2021,Qtr 3,July,3,July,7,2021
2021,Qtr 3,July,4,July,7,2021
2021,Qtr 3,July,5,July,7,2021
2021,Qtr 3,July,6,July,7,2021
2021,Qtr 3,July,7,July,7,2021
2021,Qtr 3,July,8,July,7,2021
2021,Qtr 3,July,9,July,7,2021
2021,Qtr 3,July,10,July,7,2021
2021,Qtr 3,July,11,July,7,2021
2021,Qtr 3,July,12,July,7,2021
2021,Qtr 3,July,13,July,7,2021
2021,Qtr 3,July,14,July,7,2021
2021,Qtr 3,July,15,July,7,2021
2021,Qtr 3,July,16,July,7,2021
2021,Qtr 3,July,17,July,7,2021
2021,Qtr 3,July,18,July,7,2021
2021,Qtr 3,July,19,July,7,2021
2021,Qtr 3,July,20,July,7,2021
2021,Qtr 3,July,21,July,7,2021
2021,Qtr 3,July,22,July,7,2021
2021,Qtr 3,July,23,July,7,2021
2021,Qtr 3,July,24,July,7,2021
2021,Qtr 3,July,25,July,7,2021
2021,Qtr 3,July,26,July,7,2021
2021,Qtr 3,July,27,July,7,2021
2021,Qtr 3,July,28,July,7,2021
2021,Qtr 3,July,29,July,7,2021
2021,Qtr 3,July,30,July,7,2021
2021,Qtr 3,July,31,July,7,2021
2022,Qtr 3,July,1,July,7,2022
2022,Qtr 3,July,2,July,7,2022
2022,Qtr 3,July,3,July,7,2022
2022,Qtr 3,July,4,July,7,2022
2022,Qtr 3,July,5,July,7,2022
2022,Qtr 3,July,6,July,7,2022
2022,Qtr 3,July,7,July,7,2022
2022,Qtr 3,July,8,July,7,2022
2022,Qtr 3,July,9,July,7,2022
2022,Qtr 3,July,10,July,7,2022
2022,Qtr 3,July,11,July,7,2022
2022,Qtr 3,July,12,July,7,2022
2022,Qtr 3,July,13,July,7,2022
2022,Qtr 3,July,14,July,7,2022
2022,Qtr 3,July,15,July,7,2022
2022,Qtr 3,July,16,July,7,2022
2022,Qtr 3,July,17,July,7,2022
2022,Qtr 3,July,18,July,7,2022
2022,Qtr 3,July,19,July,7,2022
2022,Qtr 3,July,20,July,7,2022
2022,Qtr 3,July,21,July,7,2022
2022,Qtr 3,July,22,July,7,2022
2022,Qtr 3,July,23,July,7,2022
2022,Qtr 3,July,24,July,7,2022
2022,Qtr 3,July,25,July,7,2022
2022,Qtr 3,July,26,July,7,2022
2022,Qtr 3,July,27,July,7,2022
2022,Qtr 3,July,28,July,7,2022
2022,Qtr 3,July,29,July,7,2022
2022,Qtr 3,July,30,July,7,2022
2022,Qtr 3,July,31,July,7,2022
2021,Qtr 2,June,1,June,6,2021
2021,Qtr 2,June,2,June,6,2021
2021,Qtr 2,June,3,June,6,2021
2021,Qtr 2,June,4,June,6,2021
2021,Qtr 2,June,5,June,6,2021
2021,Qtr 2,June,6,June,6,2021
2021,Qtr 2,June,7,June,6,2021
2021,Qtr 2,June,8,June,6,2021
2021,Qtr 2,June,9,June,6,2021
2021,Qtr 2,June,10,June,6,2021
2021,Qtr 2,June,11,June,6,2021
2021,Qtr 2,June,12,June,6,2021
2021,Qtr 2,June,13,June,6,2021
2021,Qtr 2,June,14,June,6,2021
2021,Qtr 2,June,15,June,6,2021
2021,Qtr 2,June,16,June,6,2021
2021,Qtr 2,June,17,June,6,2021
2021,Qtr 2,June,18,June,6,2021
2021,Qtr 2,June,19,June,6,2021
2021,Qtr 2,June,20,June,6,2021
2021,Qtr 2,June,21,June,6,2021
2021,Qtr 2,June,22,June,6,2021
2021,Qtr 2,June,23,June,6,2021
2021,Qtr 2,June,24,June,6,2021
2021,Qtr 2,June,25,June,6,2021
2021,Qtr 2,June,26,June,6,2021
2021,Qtr 2,June,27,June,6,2021
2021,Qtr 2,June,28,June,6,2021
2021,Qtr 2,June,29,June,6,2021
2021,Qtr 2,June,30,June,6,2021
2022,Qtr 2,June,1,June,6,2022
2022,Qtr 2,June,2,June,6,2022
2022,Qtr 2,June,3,June,6,2022
2022,Qtr 2,June,4,June,6,2022
2022,Qtr 2,June,5,June,6,2022
2022,Qtr 2,June,6,June,6,2022
2022,Qtr 2,June,7,June,6,2022
2022,Qtr 2,June,8,June,6,2022
2022,Qtr 2,June,9,June,6,2022
2022,Qtr 2,June,10,June,6,2022
2022,Qtr 2,June,11,June,6,2022
2022,Qtr 2,June,12,June,6,2022
2022,Qtr 2,June,13,June,6,2022
2022,Qtr 2,June,14,June,6,2022
2022,Qtr 2,June,15,June,6,2022
2022,Qtr 2,June,16,June,6,2022
2022,Qtr 2,June,17,June,6,2022
2022,Qtr 2,June,18,June,6,2022
2022,Qtr 2,June,19,June,6,2022
2022,Qtr 2,June,20,June,6,2022
2022,Qtr 2,June,21,June,6,2022
2022,Qtr 2,June,22,June,6,2022
2022,Qtr 2,June,23,June,6,2022
2022,Qtr 2,June,24,June,6,2022
2022,Qtr 2,June,25,June,6,2022
2022,Qtr 2,June,26,June,6,2022
2022,Qtr 2,June,27,June,6,2022
2022,Qtr 2,June,28,June,6,2022
2022,Qtr 2,June,29,June,6,2022
2022,Qtr 2,June,30,June,6,2022
2021,Qtr 2,May,1,May,5,2021
2021,Qtr 2,May,2,May,5,2021
2021,Qtr 2,May,3,May,5,2021
2021,Qtr 2,May,4,May,5,2021
2021,Qtr 2,May,5,May,5,2021
2021,Qtr 2,May,6,May,5,2021
2021,Qtr 2,May,7,May,5,2021
2021,Qtr 2,May,8,May,5,2021
2021,Qtr 2,May,9,May,5,2021
2021,Qtr 2,May,10,May,5,2021
2021,Qtr 2,May,11,May,5,2021
2021,Qtr 2,May,12,May,5,2021
2021,Qtr 2,May,13,May,5,2021
2021,Qtr 2,May,14,May,5,2021
2021,Qtr 2,May,15,May,5,2021
2021,Qtr 2,May,16,May,5,2021
2021,Qtr 2,May,17,May,5,2021
2021,Qtr 2,May,18,May,5,2021
2021,Qtr 2,May,19,May,5,2021
2021,Qtr 2,May,20,May,5,2021
2021,Qtr 2,May,21,May,5,2021
2021,Qtr 2,May,22,May,5,2021
2021,Qtr 2,May,23,May,5,2021
2021,Qtr 2,May,24,May,5,2021
2021,Qtr 2,May,25,May,5,2021
2021,Qtr 2,May,26,May,5,2021
2021,Qtr 2,May,27,May,5,2021
2021,Qtr 2,May,28,May,5,2021
2021,Qtr 2,May,29,May,5,2021
2021,Qtr 2,May,30,May,5,2021
2021,Qtr 2,May,31,May,5,2021
2022,Qtr 2,May,1,May,5,2022
2022,Qtr 2,May,2,May,5,2022
2022,Qtr 2,May,3,May,5,2022
2022,Qtr 2,May,4,May,5,2022
2022,Qtr 2,May,5,May,5,2022
2022,Qtr 2,May,6,May,5,2022
2022,Qtr 2,May,7,May,5,2022
2022,Qtr 2,May,8,May,5,2022
2022,Qtr 2,May,9,May,5,2022
2022,Qtr 2,May,10,May,5,2022
2022,Qtr 2,May,11,May,5,2022
2022,Qtr 2,May,12,May,5,2022
2022,Qtr 2,May,13,May,5,2022
2022,Qtr 2,May,14,May,5,2022
2022,Qtr 2,May,15,May,5,2022
2022,Qtr 2,May,16,May,5,2022
2022,Qtr 2,May,17,May,5,2022
2022,Qtr 2,May,18,May,5,2022
2022,Qtr 2,May,19,May,5,2022
2022,Qtr 2,May,20,May,5,2022
2022,Qtr 2,May,21,May,5,2022
2022,Qtr 2,May,22,May,5,2022
2022,Qtr 2,May,23,May,5,2022
2022,Qtr 2,May,24,May,5,2022
2022,Qtr 2,May,25,May,5,2022
2022,Qtr 2,May,26,May,5,2022
2022,Qtr 2,May,27,May,5,2022
2022,Qtr 2,May,28,May,5,2022
2022,Qtr 2,May,29,May,5,2022
2022,Qtr 2,May,30,May,5,2022
2022,Qtr 2,May,31,May,5,2022
2021,Qtr 2,April,1,April,4,2021
2021,Qtr 2,April,2,April,4,2021
2021,Qtr 2,April,3,April,4,2021
2021,Qtr 2,April,4,April,4,2021
2021,Qtr 2,April,5,April,4,2021
2021,Qtr 2,April,6,April,4,2021
2021,Qtr 2,April,7,April,4,2021
2021,Qtr 2,April,8,April,4,2021
2021,Qtr 2,April,9,April,4,2021
2021,Qtr 2,April,10,April,4,2021
2021,Qtr 2,April,11,April,4,2021
2021,Qtr 2,April,12,April,4,2021
2021,Qtr 2,April,13,April,4,2021
2021,Qtr 2,April,14,April,4,2021
2021,Qtr 2,April,15,April,4,2021
2021,Qtr 2,April,16,April,4,2021
2021,Qtr 2,April,17,April,4,2021
2021,Qtr 2,April,18,April,4,2021
2021,Qtr 2,April,19,April,4,2021
2021,Qtr 2,April,20,April,4,2021
2021,Qtr 2,April,21,April,4,2021
2021,Qtr 2,April,22,April,4,2021
2021,Qtr 2,April,23,April,4,2021
2021,Qtr 2,April,24,April,4,2021
2021,Qtr 2,April,25,April,4,2021
2021,Qtr 2,April,26,April,4,2021
2021,Qtr 2,April,27,April,4,2021
2021,Qtr 2,April,28,April,4,2021
2021,Qtr 2,April,29,April,4,2021
2021,Qtr 2,April,30,April,4,2021
2022,Qtr 2,April,1,April,4,2022
2022,Qtr 2,April,2,April,4,2022
2022,Qtr 2,April,3,April,4,2022
2022,Qtr 2,April,4,April,4,2022
2022,Qtr 2,April,5,April,4,2022
2022,Qtr 2,April,6,April,4,2022
2022,Qtr 2,April,7,April,4,2022
2022,Qtr 2,April,8,April,4,2022
2022,Qtr 2,April,9,April,4,2022
2022,Qtr 2,April,10,April,4,2022
2022,Qtr 2,April,11,April,4,2022
2022,Qtr 2,April,12,April,4,2022
2022,Qtr 2,April,13,April,4,2022
2022,Qtr 2,April,14,April,4,2022
2022,Qtr 2,April,15,April,4,2022
2022,Qtr 2,April,16,April,4,2022
2022,Qtr 2,April,17,April,4,2022
2022,Qtr 2,April,18,April,4,2022
2022,Qtr 2,April,19,April,4,2022
2022,Qtr 2,April,20,April,4,2022
2022,Qtr 2,April,21,April,4,2022
2022,Qtr 2,April,22,April,4,2022
2022,Qtr 2,April,23,April,4,2022
2022,Qtr 2,April,24,April,4,2022
2022,Qtr 2,April,25,April,4,2022
2022,Qtr 2,April,26,April,4,2022
2022,Qtr 2,April,27,April,4,2022
2022,Qtr 2,April,28,April,4,2022
2022,Qtr 2,April,29,April,4,2022
2022,Qtr 2,April,30,April,4,2022
2021,Qtr 1,March,1,March,3,2021
2021,Qtr 1,March,2,March,3,2021
2021,Qtr 1,March,3,March,3,2021
2021,Qtr 1,March,4,March,3,2021
2021,Qtr 1,March,5,March,3,2021
2021,Qtr 1,March,6,March,3,2021
2021,Qtr 1,March,7,March,3,2021
2021,Qtr 1,March,8,March,3,2021
2021,Qtr 1,March,9,March,3,2021
2021,Qtr 1,March,10,March,3,2021
2021,Qtr 1,March,11,March,3,2021
2021,Qtr 1,March,12,March,3,2021
2021,Qtr 1,March,13,March,3,2021
2021,Qtr 1,March,14,March,3,2021
2021,Qtr 1,March,15,March,3,2021
2021,Qtr 1,March,16,March,3,2021
2021,Qtr 1,March,17,March,3,2021
2021,Qtr 1,March,18,March,3,2021
2021,Qtr 1,March,19,March,3,2021
2021,Qtr 1,March,20,March,3,2021
2021,Qtr 1,March,21,March,3,2021
2021,Qtr 1,March,22,March,3,2021
2021,Qtr 1,March,23,March,3,2021
2021,Qtr 1,March,24,March,3,2021
2021,Qtr 1,March,25,March,3,2021
2021,Qtr 1,March,26,March,3,2021
2021,Qtr 1,March,27,March,3,2021
2021,Qtr 1,March,28,March,3,2021
2021,Qtr 1,March,29,March,3,2021
2021,Qtr 1,March,30,March,3,2021
2021,Qtr 1,March,31,March,3,2021
2022,Qtr 1,March,1,March,3,2022
2022,Qtr 1,March,2,March,3,2022
2022,Qtr 1,March,3,March,3,2022
2022,Qtr 1,March,4,March,3,2022
2022,Qtr 1,March,5,March,3,2022
2022,Qtr 1,March,6,March,3,2022
2022,Qtr 1,March,7,March,3,2022
2022,Qtr 1,March,8,March,3,2022
2022,Qtr 1,March,9,March,3,2022
2022,Qtr 1,March,10,March,3,2022
2022,Qtr 1,March,11,March,3,2022
2022,Qtr 1,March,12,March,3,2022
2022,Qtr 1,March,13,March,3,2022
2022,Qtr 1,March,14,March,3,2022
2022,Qtr 1,March,15,March,3,2022
2022,Qtr 1,March,16,March,3,2022
2022,Qtr 1,March,17,March,3,2022
2022,Qtr 1,March,18,March,3,2022
2022,Qtr 1,March,19,March,3,2022
2022,Qtr 1,March,20,March,3,2022
2022,Qtr 1,March,21,March,3,2022
2022,Qtr 1,March,22,March,3,2022
2022,Qtr 1,March,23,March,3,2022
2022,Qtr 1,March,24,March,3,2022
2022,Qtr 1,March,25,March,3,2022
2022,Qtr 1,March,26,March,3,2022
2022,Qtr 1,March,27,March,3,2022
2022,Qtr 1,March,28,March,3,2022
2022,Qtr 1,March,29,March,3,2022
2022,Qtr 1,March,30,March,3,2022
2022,Qtr 1,March,31,March,3,2022
2021,Qtr 1,February,1,February,2,2021
2021,Qtr 1,February,2,February,2,2021
2021,Qtr 1,February,3,February,2,2021
2021,Qtr 1,February,4,February,2,2021
2021,Qtr 1,February,5,February,2,2021
2021,Qtr 1,February,6,February,2,2021
2021,Qtr 1,February,7,February,2,2021
2021,Qtr 1,February,8,February,2,2021
2021,Qtr 1,February,9,February,2,2021
2021,Qtr 1,February,10,February,2,2021
2021,Qtr 1,February,11,February,2,2021
2021,Qtr 1,February,12,February,2,2021
2021,Qtr 1,February,13,February,2,2021
2021,Qtr 1,February,14,February,2,2021
2021,Qtr 1,February,15,February,2,2021
2021,Qtr 1,February,16,February,2,2021
2021,Qtr 1,February,17,February,2,2021
2021,Qtr 1,February,18,February,2,2021
2021,Qtr 1,February,19,February,2,2021
2021,Qtr 1,February,20,February,2,2021
2021,Qtr 1,February,21,February,2,2021
2021,Qtr 1,February,22,February,2,2021
2021,Qtr 1,February,23,February,2,2021
2021,Qtr 1,February,24,February,2,2021
2021,Qtr 1,February,25,February,2,2021
2021,Qtr 1,February,26,February,2,2021
2021,Qtr 1,February,27,February,2,2021
2021,Qtr 1,February,28,February,2,2021
2022,Qtr 1,February,1,February,2,2022
2022,Qtr 1,February,2,February,2,2022
2022,Qtr 1,February,3,February,2,2022
2022,Qtr 1,February,4,February,2,2022
2022,Qtr 1,February,5,February,2,2022
2022,Qtr 1,February,6,February,2,2022
2022,Qtr 1,February,7,February,2,2022
2022,Qtr 1,February,8,February,2,2022
2022,Qtr 1,February,9,February,2,2022
2022,Qtr 1,February,10,February,2,2022
2022,Qtr 1,February,11,February,2,2022
2022,Qtr 1,February,12,February,2,2022
2022,Qtr 1,February,13,February,2,2022
2022,Qtr 1,February,14,February,2,2022
2022,Qtr 1,February,15,February,2,2022
2022,Qtr 1,February,16,February,2,2022
2022,Qtr 1,February,17,February,2,2022
2022,Qtr 1,February,18,February,2,2022
2022,Qtr 1,February,19,February,2,2022
2022,Qtr 1,February,20,February,2,2022
2022,Qtr 1,February,21,February,2,2022
2022,Qtr 1,February,22,February,2,2022
2022,Qtr 1,February,23,February,2,2022
